x,y
153.5322,548.816
181.1865,560.2659
150.7611,528.81
170.7245,520.8895
149.5561,545.4477
172.7149,539.5551
150.0181,534.3096
158.9636,551.2335
133.7896,540.9845
146.2574,550.734
146.1817,540.1309
161.4776,533.8305
160.3645,535.1056
167.747,524.7908
150.1571,520.3177
157.8083,518.8631
154.2685,527.2266
135.5039,525.4318
187.5793,517.9625
175.1597,519.9842
173.9546,554.1823
191.8366,548.7683
171.501,567.4189
137.9093,540.0323
166.6184,525.0876
154.1025,525.1472
138.6016,508.8982
156.4104,547.7664
156.538,542.9339
179.2759,512.7105
160.8203,527.129
150.5592,519.98
177.7713,559.7093
133.9257,557.2456
151.5867,542.058
168.7722,518.1001
148.896,539.4782
189.7358,525.7959
178.4789,550.6962
176.4137,506.9105
173.5756,550.3773
160.796,528.0534
175.1611,529.2469
152.2866,518.3706
132.7648,549.6382
149.2675,532.0664
175.5639,546.2436
147.6687,554.4117
175.6926,533.9233
170.6526,512.2499
565.7648,65.8801
534.7969,102.8168
566.2988,73.7325
570.6503,74.9129
621.8924,83.8226
603.6138,82.7626
625.0266,59.3251
583.0085,105.3942
626.9397,100.1698
612.9412,71.6624
612.4113,39.1778
592.9789,81.9135
543.6553,99.8299
588.6568,116.919
586.0432,88.0315
620.6327,57.6005
565.6999,79.9894
630.4492,87.7053
616.6481,51.1096
556.7108,57.1787
589.259,84.3642
556.0713,93.5672
582.109,86.2953
645.5402,75.4771
595.4501,34.3626
540.4585,112.0662
560.9243,109.7376
607.29,76.3693
596.2994,110.4402
575.7916,75.848
584.9961,70.4273
586.7837,22.9729
559.7934,74.6375
560.8068,42.7567
595.2695,95.5777
572.8714,95.142
568.3711,124.5959
586.3465,101.2747
577.0801,145.5494
605.3308,119.3978
535.2736,122.8459
625.3149,59.5189
548.8994,60.9857
594.7646,60.3056
587.2684,112.248
565.4685,94.7621
559.629,108.5952
569.4542,104.1707
551.8035,91.8132
622.464,40.5724
592.1863,246.4555
616.8456,186.9279
533.2707,280.1136
556.7195,282.5876
559.4071,330.1356
554.0832,313.4154
546.8079,307.7547
582.1579,346.8202
578.6583,326.0188
513.3841,313.1546
527.1885,310.059
576.28,279.5181
463.743,215.9767
561.7793,261.1123
554.1948,299.3892
478.4563,260.9481
512.8712,235.6169
576.9172,298.8353
541.6108,363.228
420.9681,303.7271
479.9779,246.9805
612.0383,380.3608
461.7884,253.7644
441.4471,354.1924
474.2551,357.9959
588.9698,335.521
610.2388,223.6175
539.9165,305.2498
554.3835,292.3152
638.4096,229.1026
475.4722,339.1428
490.5458,299.0999
508.0423,324.3736
562.3387,370.4461
605.0532,229.5424
497.3005,306.4733
552.674,241.5266
497.3049,258.582
507.8675,258.5585
503.5103,252.5097
591.7477,303.2564
547.427,371.8464
557.647,284.7494
505.984,325.7359
477.6417,360.2531
571.158,296.8211
534.2461,209.9382
632.1658,275.9528
541.8499,287.2083
559.9146,331.7375
885.1887,520.2976
726.1419,554.9701
755.8967,551.707
759.706,530.9524
768.4259,493.4804
867.4184,577.7199
859.0071,618.5947
775.6122,573.7386
853.5378,482.0001
804.8232,551
714.5745,498.6057
762.9679,601.5431
805.2125,495.3738
777.7649,614.1878
790.9406,542.3085
829.4804,623.5531
785.104,517.5125
754.4446,551.6416
754.1058,552.2736
853.9889,508.8929
777.7728,616.1121
840.5858,504.198
840.6596,570.1744
763.8011,548.4009
843.242,498.5343
871.9983,617.0281
772.1222,597.9151
879.9546,519.5541
772.7418,597.33
830.4885,544.2827
783.5069,509.2283
714.9493,609.9792
750.6347,507.4921
863.3005,509.4981
754.7754,627.3822
883.6508,467.9408
817.2262,563.9922
758.2889,464.8006
747.9906,581.451
776.6281,511.1701
762.6182,520.1242
814.9425,455.2366
832.7614,624.9724
728.9937,532.2911
716.9362,539.8202
799.5714,536.7463
845.1161,621.2344
804.6551,532.8893
757.2737,575.9393
817.0784,517.5968
